First seen (UTC),Version,Feodo C&C,Status,SBL,ASN,Country,Last seen (UTC)
9/3/2015 7:11,D,169.53.155.228,offline,Not listed,,CH,9/3/2015 13:14
9/3/2015 5:57,D,80.78.245.185,offline,Not listed,AS43146 AGAVA3,RU,9/3/2015 13:14
8/25/2015 17:07,D,91.239.232.9,offline,Not listed,AS21219 DATAGROUP,UA,8/28/2015 10:11
8/20/2015 7:48,D,62.152.36.25,offline,SBL266530,AS29076 CITYTELECOM-AS,RU,8/20/2015 20:59
8/20/2015 7:48,D,78.223.153.46,offline,Not listed,AS12322 PROXAD,FR,never
8/19/2015 13:04,D,178.32.127.112,offline,SBL267841,AS16276 OVH,FR,9/3/2015 8:17
8/19/2015 6:31,D,195.208.255.134,offline,Not listed,AS5480 R61NET,RU,9/3/2015 8:17
8/19/2015 6:31,D,69.23.87.56,offline,SBL267842,AS10796 SCRR-10796,US,8/31/2015 2:22
8/19/2015 2:10,D,66.240.183.19,offline,SBL266231,AS23136 ONX,US,9/6/2015 5:51
8/14/2015 5:32,D,91.121.15.225,offline,SBL265621,AS16276 OVH,FR,8/19/2015 8:29
8/13/2015 19:04,D,74.119.194.18,offline,SBL265620,AS40015 MOVECLICKLLC,US,8/16/2015 0:40
8/12/2015 13:31,D,80.11.76.118,offline,SBL266230,AS3215 AS3215,FR,8/15/2015 9:01
8/11/2015 15:48,D,203.208.185.20,offline,SBL265434,AS7473 SINGTEL-AS-AP,SG,never
8/11/2015 15:48,D,201.175.17.35,offline,Not listed,AS22908 Sixsigma,MX,8/16/2015 0:40
8/11/2015 8:34,D,195.154.184.240,offline,SBL265432,AS12876 AS12876,FR,8/19/2015 8:29
8/10/2015 9:58,D,91.121.82.113,offline,SBL265324,AS16276 OVH,FR,8/30/2015 15:38
8/8/2015 8:29,D,5.39.222.172,offline,SBL265440,AS57043 HOSTKEY-AS,NL,9/6/2015 5:51
8/6/2015 11:42,D,212.47.196.149,offline,SBL266237,AS3327 LINXTELECOM,UA,8/16/2015 0:40
8/6/2015 2:01,D,141.0.177.142,offline,SBL264740,AS197235 SEVEREN-VOLGA,RU,8/22/2015 3:37
8/5/2015 16:55,D,80.247.233.18,offline,SBL264739,AS15826 NFRANCE,FR,8/30/2015 15:38
8/4/2015 19:09,D,91.201.155.96,offline,SBL265619,AS48446 HOSTERSI-AS,PL,9/6/2015 5:51
8/4/2015 19:09,D,148.251.157.148,offline,SBL264738,AS24940 HETZNER-AS,DE,9/6/2015 5:51
8/4/2015 19:09,D,119.81.87.154,offline,SBL264736,AS36351 SOFTLAYER,SG,9/6/2015 5:51
8/4/2015 19:09,D,50.100.255.250,offline,SBL264737,AS577 BACOM,CA,9/6/2015 5:51
8/4/2015 19:09,D,91.231.84.120,offline,SBL264735,AS197726 UKRNAMES-AS,UA,9/8/2015 5:07
8/4/2015 12:02,D,80.12.90.20,offline,SBL264568,AS3215 AS3215,FR,8/11/2015 15:48
8/4/2015 12:02,D,176.35.211.41,offline,SBL264569,AS5413 AS5413,GB,8/11/2015 15:48
8/4/2015 12:02,D,79.174.210.65,offline,SBL264570,AS9003 ASN-ALTITUDETELECOM,FR,8/20/2015 7:48
8/4/2015 12:02,D,194.58.111.157,offline,SBL264571,AS39134 UNITEDNET,RU,9/13/2015 8:27
8/1/2015 14:16,D,46.36.219.141,offline,Not listed,AS198068 FASTNET,EE,never
8/1/2015 3:39,D,78.115.79.21,offline,SBL264734,AS8228 CEGETEL-AS,FR,8/15/2015 9:01
8/1/2015 3:39,D,85.25.199.246,offline,SBL264300,AS8972 PLUSSERVER-AS,DE,8/17/2015 8:12
7/28/2015 21:47,D,136.243.219.242,offline,SBL264302,AS24940 HETZNER-AS,DE,never
7/28/2015 21:47,D,146.115.144.5,offline,SBL264567,AS6079 RCN-AS,US,8/6/2015 7:47
7/27/2015 10:29,D,93.171.132.5,offline,Not listed,AS50245 SERVEREL,UA,7/29/2015 8:59
7/24/2015 13:41,D,109.130.69.212,offline,SBL264733,AS5432 BELGACOM-SKYNET-AS,BE,8/15/2015 9:01
7/23/2015 17:14,D,31.131.251.33,offline,Not listed,AS49505 SELECTEL,RU,7/29/2015 5:22
7/21/2015 16:48,D,94.23.110.45,offline,SBL264732,AS16276 OVH,FR,8/22/2015 3:37
7/21/2015 16:48,D,199.241.30.233,offline,SBL264312,AS3842 RAMNODE,US,8/16/2015 1:28
7/21/2015 4:38,D,162.243.12.14,offline,Not listed,AS62567 DIGITALOCEAN-ASN-NY2,US,8/24/2015 0:00
7/21/2015 4:38,D,188.93.73.90,offline,SBL264303,AS12479 UNI2-AS,ES,8/24/2015 0:00
7/21/2015 2:29,D,194.58.96.45,offline,Not listed,AS197695 AS-REGRU,RU,8/17/2015 8:12
7/21/2015 2:29,D,93.93.184.13,offline,SBL264314,AS34235 ASPSERVEUR-AS,FR,8/4/2015 12:02
7/21/2015 2:29,D,95.163.121.252,offline,Not listed,AS12695 DINET-AS,RU,9/3/2015 15:45
7/15/2015 15:10,D,27.4.1.212,offline,Not listed,AS17488 HATHWAY-NET-AP,IN,7/20/2015 11:56
7/15/2015 14:33,D,151.248.123.100,offline,SBL264315,AS197695 AS-REGRU,RU,9/13/2015 8:27
7/15/2015 12:12,D,178.77.183.194,offline,SBL262089,AS42912 XOLJO,JO,7/20/2015 11:56
7/15/2015 12:12,D,91.121.91.221,offline,Not listed,AS16276 OVH,FR,8/24/2015 0:00
7/9/2015 2:32,D,176.99.6.10,offline,SBL261828,AS48361 GLOBATEL,RU,7/22/2015 8:56
7/8/2015 18:23,D,5.135.28.113,offline,SBL262088,AS16276 OVH,FR,7/26/2015 18:00
7/8/2015 18:23,D,176.9.118.201,offline,SBL261827,AS24940 HETZNER-AS,DE,7/15/2015 9:31
7/7/2015 3:56,D,176.28.10.253,offline,SBL261826,AS20773 HOSTEUROPE-AS,DE,7/20/2015 12:27
7/6/2015 9:28,D,109.186.152.83,offline,Not listed,AS1680 NV-ASN,IL,never
7/2/2015 10:23,D,69.164.213.85,offline,SBL261825,AS8001 NET-ACCESS-CORP,US,8/25/2015 12:40
7/2/2015 5:06,D,87.254.45.100,offline,SBL264317,AS31283 FASTHOST-AS,NO,7/29/2015 22:54
7/2/2015 5:06,D,188.226.166.43,offline,Not listed,AS200130 DIGITALOCEAN-ASN-1,NL,7/29/2015 16:55
7/1/2015 13:03,D,5.50.29.203,offline,Not listed,AS5410 ASN-BOUYGTEL-ISP,FR,never
6/30/2015 13:32,D,5.172.193.101,offline,Not listed,AS199081 LANCOM,GR,never
6/30/2015 12:04,D,118.174.151.27,offline,SBL261824,,TH,8/24/2015 0:00
6/30/2015 12:04,D,46.19.136.211,offline,SBL262087,AS51852 PLI-AS,CH,7/20/2015 11:56
6/29/2015 11:45,D,78.47.139.58,offline,Not listed,AS24940 HETZNER-AS,DE,7/7/2015 3:56
6/26/2015 16:03,D,85.25.238.8,offline,Not listed,AS8972 PLUSSERVER-AS,DE,7/21/2015 19:48
6/26/2015 16:03,D,68.169.49.213,offline,SBL260762,AS20141 QUALITYTECH-SUW-300,US,9/13/2015 8:27
6/19/2015 9:45,D,76.74.177.209,online,Not listed,AS13768 PEER1,US,9/8/2015 5:07
6/17/2015 4:48,D,176.9.143.115,offline,SBL259570,AS24940 HETZNER-AS,DE,6/17/2015 22:49
6/16/2015 23:09,D,221.165.153.151,offline,SBL259569,AS4766 KIXS-AS-KR,KR,never
6/16/2015 22:51,D,128.135.149.243,offline,SBL259565,AS160 U-CHICAGO-AS,US,6/16/2015 23:09
6/16/2015 22:51,D,37.143.11.165,offline,SBL259566,AS48172 OVERSUN,RU,6/18/2015 11:57
6/16/2015 22:51,D,80.240.129.54,offline,SBL259567,AS200130 DIGITALOCEAN-ASN-1,NL,never
6/16/2015 22:51,D,82.239.92.207,offline,SBL259568,AS12322 PROXAD,FR,never
6/16/2015 22:51,D,134.121.84.225,offline,Not listed,AS11827 WSU-AS,US,never
6/16/2015 22:51,D,183.81.166.5,offline,SBL260761,AS45352 IPSERVERONE-AS-AP,MY,8/28/2015 10:11
6/16/2015 18:11,D,193.13.142.11,offline,SBL259564,"AS1257 TELE2,SE",SE,never
6/16/2015 9:47,D,136.243.14.142,offline,SBL259563,AS24940 HETZNER-AS,DE,6/16/2015 12:37
6/13/2015 1:40,D,71.14.1.139,offline,SBL259293,AS20115 CHARTER-NET-HKY-NC,US,6/13/2015 8:57
6/13/2015 1:40,D,90.80.231.36,offline,SBL259292,AS3215 AS3215,FR,8/15/2015 9:01
6/12/2015 16:44,D,162.230.122.35,offline,Not listed,AS7018 ATT-INTERNET4,US,6/19/2015 9:45
6/11/2015 6:00,D,94.23.53.23,offline,SBL259153,AS16276 OVH,FR,6/18/2015 21:41
6/10/2015 16:24,D,209.40.206.231,offline,SBL259152,AS29873 BIZLAND-SD,US,6/16/2015 18:11
6/10/2015 16:24,D,78.47.182.215,offline,SBL259151,AS24940 HETZNER-AS,DE,6/12/2015 16:44
6/10/2015 10:49,D,173.230.130.172,offline,Not listed,AS3595 GNAXNET-AS,US,6/18/2015 21:41
6/9/2015 7:50,C,37.187.144.59,offline,Not listed,AS16276 OVH,FR,6/9/2015 11:29
6/8/2015 13:11,C,92.222.7.156,offline,Not listed,AS16276 OVH,FR,6/9/2015 11:29
6/8/2015 12:26,C,64.207.148.216,offline,SBL258903,AS31815 MEDIATEMPLE,US,6/13/2015 2:16
6/8/2015 10:39,D,78.47.136.47,offline,SBL258896,AS24940 HETZNER-AS,DE,never
6/7/2015 15:39,D,79.143.191.147,offline,Not listed,AS51167 CONTABO,DE,7/12/2015 16:57
