Dateadded,Malware,Host,IP address,Level,Status,Files Online,SBL,Country,AS number,Uptime
2015-09-15,Citadel,z0bu.dynu.com,173.193.174.66,4,online,2,SBL269512,-,AS36351,03:35:06
2015-09-13,VMZeuS,wayufilm.com,,2,offline,2,Not listed,-, ,48:33:05
2015-09-13,ZeuS,cd31411.tmweb.ru,92.53.96.71,3,online,0,SBL269260,-,AS9123,49:06:48
2015-09-13,VMZeuS,techjoe.cricket,,4,offline,0,Not listed,-, ,10:19:40
2015-09-13,VMZeuS,domifondery.com,FastFlux Botnet,5,online,1,Not listed,-, ,50:45:36
2015-09-12,Citadel,aneesas.co.za,196.41.123.20,2,online,0,Not listed,-,AS36874,73:20:13
2015-09-12,VMZeuS,borsetelkotob.com,166.62.38.195,2,online,0,Not listed,-,AS26496,73:21:38
2015-09-12,VMZeuS,patdappaandassociates.com,,2,offline,0,Not listed,-, ,25:21:38
2015-09-12,VMZeuS,run4.co.za,196.41.123.124,2,online,0,Not listed,-,AS36874,73:34:43
2015-09-11,VMZeuS,antgul.com,31.169.83.221,2,online,2,SBL269143,-,AS56582,838:59:59
2015-09-11,VMZeuS,tpintershipping.com,61.19.251.159,2,online,0,Not listed,-,AS9931,97:59:10
2015-09-10,Citadel,www.templiers-templars.li,91.223.253.15,2,online,0,Not listed,-,AS34235,124:03:01
2015-09-10,Citadel,180.222.95.210,180.222.95.210,4,unknown,2,SBL268913,-,AS9597,-
2015-09-09,VMZeuS,www.101dpm.com,203.172.183.110,2,online,0,SBL268803,-,AS23974,143:28:21
2015-09-09,Citadel,www.annamarieboudewijns.nl,141.138.168.149,2,online,1,SBL268802,-,AS51696,143:31:11
2015-09-09,VMZeuS,www.bestpris.no,,2,offline,0,Not listed,-, ,48:04:35
2015-09-09,KINS,tlauren.com,185.24.98.196,4,online,0,SBL269471,-,AS198047,145:10:46
2015-09-09,Citadel,adf.com.cy,95.213.172.30,2,online,0,Not listed,-,AS49505,146:49:05
2015-09-07,VMZeuS,thaitp47.com,122.155.3.150,2,online,0,SBL268918,-,AS9931,192:14:26
2015-09-07,Citadel,www.foxload.in.net,,4,offline,0,Not listed,-, ,838:59:59
2015-09-07,VMZeuS,209.164.84.71,209.164.84.71,4,unknown,0,Not listed,-,AS54489,-
2015-09-07,VMZeuS,highadmin.tk,,4,offline,0,Not listed,-, ,146:49:08
2015-09-07,VMZeuS,190.14.38.153,190.14.38.153,4,unknown,0,Not listed,-,AS52469,-
2015-09-05,Citadel,trfordsworking.in,,2,offline,0,Not listed,-, ,194:37:49
2015-09-05,VMZeuS,aefalcon.com,192.186.223.136,2,online,0,Not listed,-,AS26496,242:34:04
2015-09-05,VMZeuS,calentadoressolaresacambaro.com,95.211.75.240,2,online,0,Not listed,-,AS60781,242:41:18
2015-09-04,VMZeuS,updateacces.org,174.127.99.132,4,online,0,SBL269545,-,AS36351,261:54:26
2015-09-04,VMZeuS,lydiasimoncreative.com,198.252.67.86,2,online,0,SBL268326,-,AS36351,264:52:40
2015-09-04,VMZeuS,nonesuppgookkoler.su,,4,offline,0,Not listed,-, ,26:32:03
2015-09-04,VMZeuS,mpc1.in,,4,offline,0,Not listed,-, ,838:59:59
2015-09-04,VMZeuS,www.toddlytots.com,92.48.115.57,2,online,0,Not listed,-,AS29550,267:01:47
2015-09-03,VMZeuS,libyanembassy-sweden.com,31.169.73.79,2,online,0,Not listed,-,AS56582,293:05:07
2015-09-03,VMZeuS,kidstrustorphanage.com,54.72.130.67,2,online,0,Not listed,-,AS16509,293:06:14
2015-09-01,VMZeuS,66.221.13.60,66.221.13.60,4,unknown,0,Not listed,-,AS54489,-
2015-08-31,VMZeuS,dudylanches.com.br,189.113.4.251,2,online,0,Not listed,-,AS28209,364:08:39
2015-08-31,VMZeuS,tribocom.com,189.113.2.210,2,online,0,Not listed,-,AS28209,364:13:27
2015-08-31,VMZeuS,benchblog.com,216.194.169.100,2,online,1,SBL267719,-,AS22611,364:30:36
2015-08-31,VMZeuS,www.dphcustompins.com,23.229.238.21,2,online,0,Not listed,-,AS26496,364:49:44
2015-08-30,VMZeuS,64.182.215.71,64.182.215.71,4,unknown,0,Not listed,-,AS54489,-
